run_id,regime,system,crash_point,endpoint,response_class,readback_keying,execution_id,outcome_class,status,applied_effects,crashed,dispatch_attempts,step_latency_ms,recovery_latency_ms,undetected_duplicate,lost_effect
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3f50657c-d9fc-44cb-8592-bf29b71745bb,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,5043.086582,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,ccf1cd6e-edb1-4e0f-bdb7-dc7aa7a17223,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2038.818582,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0d2e6fae-5f9f-47bb-8525-ee5dd50ee211,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,5045.321242,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3aa66139-6ca2-4798-a842-198b6727bfee,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2097.356374,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,67ae7920-ce58-4c83-8324-e22e1e0ce1db,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2036.483979,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,13657746-b5e8-479d-b59c-be6983b05c8f,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2039.09379,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,ca8a488b-2eb7-464c-9103-ad0f09a0d91c,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2040.370875,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r1,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,2db1677b-b8d6-48b7-97ca-ef0e0b2667e2,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2057.108584,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,ceaabd88-fa29-4346-9bc4-8cd665982499,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,5144.698701,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0bdfae88-b171-4618-83a6-32a4598cab36,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,5043.73527,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,52433c6b-1516-4d17-9146-a1306c32d812,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,5034.941475,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,126cdca6-4334-4ec2-af4e-2e3986a6793c,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2038.605923,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,bfd596cf-4f38-482a-81e9-157af44bffec,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2038.009659,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,bfab3de4-3a45-49e4-a753-6350e1037ebb,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,5143.80047,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,78479c57-2f93-4b36-bfb9-6ce6286a50ed,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,5052.913423,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,4e8e34d5-ac93-4638-86f1-4bdbb2d6e2fb,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2049.726256,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,8bb7ca06-622c-4319-acaf-64612dfaa6dd,CONFIRMED_NOT_APPLIED,FAILED_CONFIRMED,0,0,1,2039.853242,,0,0
b3_intent_no_barrier-none-payments-85b7630d-r2,p0,B3_INTENT_NO_BARRIER,none,payments,AUTHORITATIVE_READBACK,CALLER_REFERENCE,01d49cbb-d341-4469-8128-752531169dbd,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,0,1,2040.857491,,0,0
